Grid_x,Grid_y,Office,Fort Carson,COS East / Airport,COS,USAFA,Monument & North,Northeast,Woodland Park,Pueblo,Fountain,Pinon Canyon Maneuver Site,Midpoint,Corners
62,36,BOU,0,0,0,0,1,0,0,0,0,0,"[-104.94182144000001, 39.20158067999999]","[[-104.9540259, 39.2097562], [-104.9519327, 39.1877], [-104.9235177, 39.1893173], [-104.925605, 39.211373699999996], [-104.9540259, 39.2097562]]"
62,37,BOU,0,0,0,0,1,0,0,0,0,0,"[-104.94391238, 39.22363094000001]","[[-104.9561194, 39.2318038], [-104.9540257, 39.209754100000005], [-104.9256048, 39.21137160000001], [-104.9276926, 39.233421400000005], [-104.9561194, 39.2318038]]"
62,38,BOU,0,0,0,0,1,0,0,0,0,0,"[-104.94600409999998, 39.245678160000004]","[[-104.9582138, 39.2538496], [-104.9561193, 39.2318033], [-104.92769249999999, 39.233420900000006], [-104.92978109999999, 39.25546740000001], [-104.9582138, 39.2538496]]"
62,39,BOU,0,0,0,0,1,0,0,0,0,0,"[-104.94809759999998, 39.26773244]","[[-104.9603103, 39.2759063], [-104.9582142, 39.2538538], [-104.9297815, 39.2554716], [-104.9318717, 39.2775242], [-104.9603103, 39.2759063]]"
62,40,BOU,0,0,0,0,1,0,0,0,0,0,"[-104.95019148000002, 39.289778940000005]","[[-104.9624068, 39.2979501], [-104.9603101, 39.2759042], [-104.9318715, 39.2775221], [-104.9339622, 39.299568199999996], [-104.9624068, 39.2979501]]"
62,41,BOU,0,0,0,0,1,0,0,0,0,0,"[-104.95228524, 39.31181298]","[[-104.9645029, 39.3199793], [-104.9624063, 39.2979453], [-104.9339617, 39.299563400000004], [-104.9360524, 39.321597600000004], [-104.9645029, 39.3199793]]"
62,42,BOU,0,0,0,0,1,0,0,0,0,0,"[-104.95438102, 39.33385618000001]","[[-104.9666018, 39.3420253], [-104.96450340000001, 39.319984100000006], [-104.93605280000001, 39.3216024], [-104.93814530000002, 39.3436438], [-104.9666018, 39.3420253]]"
62,43,BOU,0,0,0,0,1,0,0,0,0,0,"[-104.95647698, 39.35589022]","[[-104.9687003, 39.3640562], [-104.9666015, 39.3420227], [-104.93814499999999, 39.3436411], [-104.94023779999999, 39.3656749], [-104.9687003, 39.3640562]]"
62,44,BOU,0,0,0,0,1,0,0,0,0,0,"[-104.95857387999999, 39.37792248]","[[-104.9707999, 39.3860875], [-104.96870030000001, 39.3640562], [-104.9402378, 39.3656749], [-104.94233150000001, 39.387706300000005], [-104.9707999, 39.3860875]]"
62,45,BOU,0,0,0,0,1,0,0,0,0,0,"[-104.96067257999998, 39.39996168]","[[-104.9729017, 39.4081291], [-104.9708003, 39.386091699999994], [-104.9423319, 39.3877105], [-104.9444273, 39.409748], [-104.9729017, 39.4081291]]"
62,46,BOU,0,0,0,0,1,0,0,0,0,0,"[-104.96277149999999, 39.42199186]","[[-104.9750031, 39.4301561], [-104.9729014, 39.4081264], [-104.9444271, 39.4097454], [-104.9465228, 39.4317753], [-104.9750031, 39.4301561]]"
62,47,BOU,0,0,0,0,1,0,0,0,0,0,"[-104.96487092000002, 39.44401562]","[[-104.9771051, 39.4521772], [-104.9750029, 39.430154], [-104.94652260000001, 39.4317732], [-104.94861890000001, 39.4537965], [-104.9771051, 39.4521772]]"
62,48,BOU,0,0,0,0,1,0,0,0,0,0,"[-104.96697185999999, 39.4660432]","[[-104.979209, 39.4742059], [-104.9771054, 39.4521798], [-104.9486191, 39.453799100000005], [-104.9507168, 39.475825300000004], [-104.979209, 39.4742059]]"
62,49,BOU,0,0,0,0,1,0,0,0,0,0,"[-104.96907346, 39.48806674]","[[-104.9813133, 39.496228], [-104.9792089, 39.4742053], [-104.9507167, 39.4758248], [-104.9528151, 39.4978476], [-104.9813133, 39.496228]]"
